PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1044;3210;-2;1;0
0;2;0;0;1044;1515;-2;2;1
0;3;0;0;403;1515;0;3;2
0;4;403;0;641;1515;-2;3;2
0;5;403;0;641;1455;44;4;4
0;6;403;1455;641;60;-1;4;4
0;7;0;1515;1044;814;-2;2;1
0;8;0;1515;1020;814;36;3;7
0;9;1020;1515;24;814;-1;3;7
0;10;0;2329;1044;814;-2;2;1
0;11;0;2329;1020;814;37;3;10
0;12;1020;2329;24;814;-1;3;10
0;13;0;3143;1044;67;-1;2;1
0;14;1044;0;728;3210;-2;1;0
0;15;1044;0;728;910;-2;2;14
0;16;1044;0;701;910;26;3;15
0;17;1745;0;27;910;-1;3;15
0;18;1044;910;728;1324;-2;2;14
0;19;1044;910;708;1324;27;3;18
0;20;1752;910;20;1324;-1;3;18
0;21;1044;2234;728;860;-2;2;14
0;22;1044;2234;701;860;45;3;21
0;23;1745;2234;27;860;-1;3;21
0;24;1044;3094;728;116;-1;2;14
0;25;1772;0;1417;3210;-2;1;0
0;26;1772;0;1417;420;-2;2;25
0;27;1772;0;1286;420;10;3;26
0;28;3058;0;131;420;-1;3;26
0;29;1772;420;1417;420;-2;2;25
0;30;1772;420;1286;420;11;3;29
0;31;3058;420;131;420;-1;3;29
0;32;1772;840;1417;420;-2;2;25
0;33;1772;840;1286;420;12;3;32
0;34;3058;840;131;420;-1;3;32
0;35;1772;1260;1417;1913;-2;2;25
0;36;1772;1260;752;1913;28;3;35
0;37;2524;1260;665;1913;-2;3;35
0;38;2524;1260;665;61;-1;4;37
0;39;2524;1321;665;1852;29;4;37
0;40;1772;3173;1417;37;-1;2;25
0;41;3189;0;804;3210;-2;1;0
0;42;3189;0;804;381;-2;2;41
0;43;3189;0;719;381;53;3;42
0;44;3908;0;85;381;-1;3;42
0;45;3189;381;804;335;-2;2;41
0;46;3189;381;721;335;63;3;45
0;47;3910;381;83;335;-1;3;45
0;48;3189;716;804;1495;-2;2;41
0;49;3189;716;386;1495;1;3;48
0;50;3575;716;386;1495;2;3;48
0;51;3961;716;32;1495;-1;3;48
0;52;3189;2211;804;399;-2;2;41
0;53;3189;2211;769;399;54;3;52
0;54;3958;2211;35;399;-1;3;52
0;55;3189;2610;804;600;-2;2;41
0;56;3189;2610;62;600;-1;3;55
0;57;3251;2610;742;600;3;3;55
0;58;3993;0;810;3210;-2;1;0
0;59;3993;0;810;284;-2;2;58
0;60;3993;0;810;284;30;3;59
0;61;3993;284;810;860;-2;2;58
0;62;3993;284;701;860;46;3;61
0;63;4694;284;109;860;-1;3;61
0;64;3993;1144;810;2039;-2;2;58
0;65;3993;1144;781;2039;47;3;64
0;66;4774;1144;29;2039;-1;3;64
0;67;3993;3183;810;27;-1;2;58
0;68;4803;0;1174;3210;-2;1;0
0;69;4803;0;1174;808;-2;2;68
0;70;4803;0;818;808;16;3;69
0;71;5621;0;335;808;-2;3;69
0;72;5621;0;335;187;-1;4;71
0;73;5621;187;335;621;64;4;71
0;74;5956;0;21;808;-1;3;69
0;75;4803;808;1174;699;-2;2;68
0;76;4803;808;1174;699;65;3;75
0;77;4803;1507;1174;46;-1;2;68
0;78;4803;1553;1174;1548;-2;2;68
0;79;4803;1553;401;1548;-2;3;78
0;80;4803;1553;401;1515;13;4;79
0;81;4803;3068;401;33;-1;4;79
0;82;5204;1553;686;1548;-2;3;78
0;83;5204;1553;686;1528;48;4;82
0;84;5204;3081;686;20;-1;4;82
0;85;5890;1553;87;1548;-1;3;78
0;86;4803;3101;1174;109;-1;2;68
0;87;5977;0;23;3210;-1;1;0
1;88;0;0;6000;3210;-2;0;
1;89;0;0;2208;3210;-2;1;88
1;90;0;0;2208;2113;-2;2;89
1;91;0;0;1178;2113;-2;3;90
1;92;0;0;1178;2088;4;4;91
1;93;0;2088;1178;25;-1;4;91
1;94;1178;0;1030;2113;-2;3;90
1;95;1178;0;1030;2093;38;4;94
1;96;1178;2093;1030;20;-1;4;94
1;97;0;2113;2208;561;-2;2;89
1;98;0;2113;1346;561;5;3;97
1;99;1346;2113;820;561;-2;3;97
1;100;1346;2113;820;508;39;4;99
1;101;1346;2621;820;53;-1;4;99
1;102;2166;2113;42;561;-1;3;97
1;103;0;2674;2208;536;-2;2;89
1;104;0;2674;820;536;-2;3;103
1;105;0;2674;820;508;40;4;104
1;106;0;3182;820;28;-1;4;104
1;107;820;2674;820;536;-2;3;103
1;108;820;2674;820;508;41;4;107
1;109;820;3182;820;28;-1;4;107
1;110;1640;2674;540;536;-2;3;103
1;111;1640;2674;540;500;71;4;110
1;112;1640;3174;540;36;-1;4;110
1;113;2180;2674;28;536;-1;3;103
1;114;2208;0;2060;3210;-2;1;88
1;115;2208;0;2060;1115;-2;2;114
1;116;2208;0;674;1115;-2;3;115
1;117;2208;0;674;1001;49;4;116
1;118;2208;1001;674;114;-1;4;116
1;119;2882;0;462;1115;17;3;115
1;120;3344;0;462;1115;18;3;115
1;121;3806;0;462;1115;19;3;115
1;122;2208;1115;2060;935;-2;2;114
1;123;2208;1115;2013;935;20;3;122
1;124;4221;1115;47;935;-1;3;122
1;125;2208;2050;2060;700;-2;2;114
1;126;2208;2050;910;700;42;3;125
1;127;3118;2050;910;700;43;3;125
1;128;4028;2050;240;700;-1;3;125
1;129;2208;2750;2060;433;-2;2;114
1;130;2208;2750;663;433;55;3;129
1;131;2871;2750;663;433;56;3;129
1;132;3534;2750;669;433;-2;3;129
1;133;3534;2750;669;399;66;4;132
1;134;3534;3149;669;34;-1;4;132
1;135;4203;2750;65;433;-1;3;129
1;136;2208;3183;2060;27;-1;2;114
1;137;4268;0;1186;3210;-2;1;88
1;138;4268;0;1186;1190;-2;2;137
1;139;4268;0;593;1190;81;3;138
1;140;4861;0;593;1190;82;3;138
1;141;4268;1190;1186;674;-2;2;137
1;142;4268;1190;1001;674;50;3;141
1;143;5269;1190;185;674;-1;3;141
1;144;4268;1864;1186;1346;-2;2;137
1;145;4268;1864;561;1346;6;3;144
1;146;4829;1864;605;1346;-2;3;144
1;147;4829;1864;605;1258;57;4;146
1;148;4829;3122;605;88;-1;4;146
1;149;5434;1864;20;1346;-1;3;144
1;150;5454;0;520;3210;-2;1;88
1;151;5454;0;520;718;-2;2;150
1;152;5454;0;484;718;67;3;151
1;153;5938;0;36;718;-1;3;151
1;154;5454;718;520;77;-1;2;150
1;155;5454;795;520;1130;-2;2;150
1;156;5454;795;520;1130;31;3;155
1;157;5454;1925;520;1130;-2;2;150
1;158;5454;1925;520;1130;32;3;157
1;159;5454;3055;520;155;-1;2;150
1;160;5974;0;26;3210;-1;1;88
