PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;2172;3210;-2;1;0
0;2;0;0;2172;1056;-2;2;1
0;3;0;0;2172;1056;232;3;2
0;4;0;1056;2172;1056;-2;2;1
0;5;0;1056;2172;1056;233;3;4
0;6;0;2112;2172;1056;-2;2;1
0;7;0;2112;2172;1056;234;3;6
0;8;0;3168;2172;42;-1;2;1
0;9;2172;0;1792;3210;-2;1;0
0;10;2172;0;1792;615;-2;2;9
0;11;2172;0;1792;615;235;3;10
0;12;2172;615;1792;615;-2;2;9
0;13;2172;615;1792;615;236;3;12
0;14;2172;1230;1792;660;-2;2;9
0;15;2172;1230;1792;660;237;3;14
0;16;2172;1890;1792;660;-2;2;9
0;17;2172;1890;1792;660;238;3;16
0;18;2172;2550;1792;660;-2;2;9
0;19;2172;2550;1792;660;239;3;18
0;20;3964;0;693;3210;-2;1;0
0;21;3964;0;693;1195;-2;2;20
0;22;3964;0;657;1195;145;3;21
0;23;4621;0;36;1195;-1;3;21
0;24;3964;1195;693;1792;-2;2;20
0;25;3964;1195;693;1792;203;3;24
0;26;3964;2987;693;223;-1;2;20
0;27;4657;0;1343;3210;-2;1;0
0;28;4657;0;1343;1138;-2;2;27
0;29;4657;0;745;1138;87;3;28
0;30;5402;0;575;1138;-2;3;28
0;31;5402;0;575;1077;319;4;30
0;32;5402;1077;575;61;-1;4;30
0;33;5977;0;23;1138;-1;3;28
0;34;4657;1138;1343;830;-2;2;27
0;35;4657;1138;1270;830;88;3;34
0;36;5927;1138;73;830;-1;3;34
0;37;4657;1968;1343;1195;-2;2;27
0;38;4657;1968;657;1195;146;3;37
0;39;5314;1968;657;1195;147;3;37
0;40;5971;1968;29;1195;-1;3;37
0;41;4657;3163;1343;47;-1;2;27
1;42;0;0;6000;3210;-2;0;
1;43;0;0;1676;3210;-2;1;42
1;44;0;0;1676;1952;-2;2;43
1;45;0;0;838;1952;290;3;44
1;46;838;0;838;1952;291;3;44
1;47;0;1952;1676;1228;-2;2;43
1;48;0;1952;620;1228;29;3;47
1;49;620;1952;356;1228;-2;3;47
1;50;620;1952;356;1145;116;4;49
1;51;620;3097;356;83;-1;4;49
1;52;976;1952;657;1228;-2;3;47
1;53;976;1952;657;1195;148;4;52
1;54;976;3147;657;33;-1;4;52
1;55;1633;1952;43;1228;-1;3;47
1;56;0;3180;1676;30;-1;2;43
1;57;1676;0;2104;3210;-2;1;42
1;58;1676;0;2104;2030;-2;2;57
1;59;1676;0;521;2030;174;3;58
1;60;2197;0;521;2030;175;3;58
1;61;2718;0;521;2030;176;3;58
1;62;3239;0;521;2030;177;3;58
1;63;3760;0;20;2030;-1;3;58
1;64;1676;2030;2104;1116;-2;2;57
1;65;1676;2030;2082;1116;261;3;64
1;66;3758;2030;22;1116;-1;3;64
1;67;1676;3146;2104;64;-1;2;57
1;68;3780;0;343;3210;-2;1;42
1;69;3780;0;343;1509;-2;2;68
1;70;3780;0;343;1509;149;3;69
1;71;3780;1509;343;1509;-2;2;68
1;72;3780;1509;343;1509;150;3;71
1;73;3780;3018;343;192;-1;2;68
1;74;4123;0;1877;3210;-2;1;42
1;75;4123;0;1877;582;-2;2;74
1;76;4123;0;787;582;0;3;75
1;77;4910;0;787;582;1;3;75
1;78;5697;0;303;582;-1;3;75
1;79;4123;582;1877;1882;-2;2;74
1;80;4123;582;718;1882;-2;3;79
1;81;4123;582;718;1842;240;4;80
1;82;4123;2424;718;40;-1;4;80
1;83;4841;582;1115;1882;262;3;79
1;84;5956;582;44;1882;-1;3;79
1;85;4123;2464;1877;718;-2;2;74
1;86;4123;2464;1842;718;241;3;85
1;87;5965;2464;35;718;-1;3;85
1;88;4123;3182;1877;28;-1;2;74
2;89;0;0;6000;3210;-2;0;
2;90;0;0;1937;3210;-2;1;89
2;91;0;0;1937;697;-2;2;90
2;92;0;0;1883;697;89;3;91
2;93;1883;0;54;697;-1;3;91
2;94;0;697;1937;868;-2;2;90
2;95;0;697;1937;868;90;3;94
2;96;0;1565;1937;505;-2;2;90
2;97;0;1565;804;505;204;3;96
2;98;804;1565;206;505;-1;3;96
2;99;1010;1565;804;505;205;3;96
2;100;1814;1565;123;505;-1;3;96
2;101;0;2070;1937;1115;-2;2;90
2;102;0;2070;1882;1115;263;3;101
2;103;1882;2070;55;1115;-1;3;101
2;104;0;3185;1937;25;-1;2;90
2;105;1937;0;1882;3210;-2;1;89
2;106;1937;0;1882;1095;-2;2;105
2;107;1937;0;1882;1095;264;3;106
2;108;1937;1095;1882;2042;-2;2;105
2;109;1937;1095;930;2042;292;3;108
2;110;2867;1095;930;2042;293;3;108
2;111;3797;1095;22;2042;-1;3;108
2;112;1937;3137;1882;73;-1;2;105
2;113;3819;0;2181;3210;-2;1;89
2;114;3819;0;2181;1204;-2;2;113
2;115;3819;0;571;1204;-2;3;114
2;116;3819;0;571;1172;91;4;115
2;117;3819;1172;571;32;-1;4;115
2;118;4390;0;505;1204;206;3;114
2;119;4895;0;505;1204;207;3;114
2;120;5400;0;575;1204;-2;3;114
2;121;5400;0;575;1077;320;4;120
2;122;5400;1077;575;127;-1;4;120
2;123;5975;0;25;1204;-1;3;114
2;124;3819;1204;2181;803;-2;2;113
2;125;3819;1204;208;803;-2;3;124
2;126;3819;1204;208;609;117;4;125
2;127;3819;1813;208;194;-1;4;125
2;128;4027;1204;1892;803;321;3;124
2;129;5919;1204;81;803;-1;3;124
2;130;3819;2007;2181;1177;-2;2;113
2;131;3819;2007;719;1177;294;3;130
2;132;4538;2007;719;1177;295;3;130
2;133;5257;2007;719;1177;296;3;130
2;134;5976;2007;24;1177;-1;3;130
2;135;3819;3184;2181;26;-1;2;113
3;136;0;0;6000;3210;-2;0;
3;137;0;0;3039;3210;-2;1;136
3;138;0;0;3039;739;-2;2;137
3;139;0;0;1842;739;-2;3;138
3;140;0;0;1842;718;242;4;139
3;141;0;718;1842;21;-1;4;139
3;142;1842;0;1177;739;-2;3;138
3;143;1842;0;1177;719;297;4;142
3;144;1842;719;1177;20;-1;4;142
3;145;3019;0;20;739;-1;3;138
3;146;0;739;3039;505;-2;2;137
3;147;0;739;1504;505;178;3;146
3;148;1504;739;1504;505;179;3;146
3;149;3008;739;31;505;-1;3;146
3;150;0;1244;3039;1912;-2;2;137
3;151;0;1244;1095;1912;-2;3;150
3;152;0;1244;1095;1882;265;4;151
3;153;0;3126;1095;30;-1;4;151
3;154;1095;1244;1090;1912;-2;3;150
3;155;1095;1244;1090;1882;266;4;154
3;156;1095;3126;1090;30;-1;4;154
3;157;2185;1244;803;1912;-2;3;150
3;158;2185;1244;803;1892;322;4;157
3;159;2185;3136;803;20;-1;4;157
3;160;2988;1244;51;1912;-1;3;150
3;161;0;3156;3039;54;-1;2;137
3;162;3039;0;1842;3210;-2;1;136
3;163;3039;0;1842;718;-2;2;162
3;164;3039;0;1842;718;243;3;163
3;165;3039;718;1842;1189;-2;2;162
3;166;3039;718;1822;1189;323;3;165
3;167;4861;718;20;1189;-1;3;165
3;168;3039;1907;1842;1250;-2;2;162
3;169;3039;1907;1822;1250;324;3;168
3;170;4861;1907;20;1250;-1;3;168
3;171;3039;3157;1842;53;-1;2;162
3;172;4881;0;1090;3210;-2;1;136
3;173;4881;0;1090;1237;-2;2;172
3;174;4881;0;505;1237;-2;3;173
3;175;4881;0;505;33;-1;4;174
3;176;4881;33;505;1204;180;4;174
3;177;5386;0;505;1237;-2;3;173
3;178;5386;0;505;1204;208;4;177
3;179;5386;1204;505;33;-1;4;177
3;180;5891;0;80;1237;-1;3;173
3;181;4881;1237;1090;1882;-2;2;172
3;182;4881;1237;1090;1882;267;3;181
3;183;4881;3119;1090;91;-1;2;172
3;184;5971;0;29;3210;-1;1;136
4;185;0;0;6000;3210;-2;0;
4;186;0;0;2354;3210;-2;1;185
4;187;0;0;2354;1523;-2;2;186
4;188;0;0;1177;1523;298;3;187
4;189;1177;0;1177;1523;299;3;187
4;190;0;1523;2354;1177;-2;2;186
4;191;0;1523;790;1177;-2;3;190
4;192;0;1523;790;1100;92;4;191
4;193;0;2623;790;77;-1;4;191
4;194;790;1523;1523;1177;300;3;190
4;195;2313;1523;41;1177;-1;3;190
4;196;0;2700;2354;510;-2;2;186
4;197;0;2700;1150;510;325;3;196
4;198;1150;2700;1150;510;326;3;196
4;199;2300;2700;54;510;-1;3;196
4;200;2354;0;1792;3210;-2;1;185
4;201;2354;0;1792;703;-2;2;200
4;202;2354;0;1792;703;244;3;201
4;203;2354;703;1792;343;-2;2;200
4;204;2354;703;299;343;-1;3;203
4;205;2653;703;1449;343;151;3;203
4;206;4102;703;44;343;-1;3;203
4;207;2354;1046;1792;703;-2;2;200
4;208;2354;1046;1792;703;245;3;207
4;209;2354;1749;1792;703;-2;2;200
4;210;2354;1749;1792;703;246;3;209
4;211;2354;2452;1792;703;-2;2;200
4;212;2354;2452;1792;703;247;3;211
4;213;2354;3155;1792;55;-1;2;200
4;214;4146;0;1830;3210;-2;1;185
4;215;4146;0;1830;1792;-2;2;214
4;216;4146;0;1127;1792;-2;3;215
4;217;4146;0;1127;1666;181;4;216
4;218;4146;1666;1127;126;-1;4;216
4;219;5273;0;703;1792;248;3;215
4;220;4146;1792;1830;1367;-2;2;214
4;221;4146;1792;1762;1367;327;3;220
4;222;5908;1792;68;1367;-1;3;220
4;223;4146;3159;1830;51;-1;2;214
4;224;5976;0;24;3210;-1;1;185
5;225;0;0;6000;3210;-2;0;
5;226;0;0;1592;3210;-2;1;225
5;227;0;0;1592;1177;-2;2;226
5;228;0;0;1523;1177;301;3;227
5;229;1523;0;69;1177;-1;3;227
5;230;0;1177;1592;1946;-2;2;226
5;231;0;1177;796;1946;302;3;230
5;232;796;1177;796;1946;303;3;230
5;233;0;3123;1592;87;-1;2;226
5;234;1592;0;3257;3210;-2;1;225
5;235;1592;0;3257;1954;-2;2;234
5;236;1592;0;1065;1954;-2;3;235
5;237;1592;0;1065;1882;268;4;236
5;238;1592;1882;1065;72;-1;4;236
5;239;2657;0;1096;1954;304;3;235
5;240;3753;0;1096;1954;305;3;235
5;241;1592;1954;3257;25;-1;2;234
5;242;1592;1979;3257;1204;-2;2;234
5;243;1592;1979;1666;1204;-2;3;242
5;244;1592;1979;1666;1127;182;4;243
5;245;1592;3106;1666;77;-1;4;243
5;246;3258;1979;505;1204;209;3;242
5;247;3763;1979;505;1204;210;3;242
5;248;4268;1979;505;1204;211;3;242
5;249;4773;1979;76;1204;-1;3;242
5;250;1592;3183;3257;27;-1;2;234
5;251;4849;0;1115;3210;-2;1;225
5;252;4849;0;1115;1582;-2;2;251
5;253;4849;0;1115;1582;306;3;252
5;254;4849;1582;1115;1582;-2;2;251
5;255;4849;1582;1115;1582;307;3;254
5;256;4849;3164;1115;46;-1;2;251
5;257;5964;0;36;3210;-1;1;225
6;258;0;0;6000;3210;-2;0;
6;259;0;0;1882;3210;-2;1;258
6;260;0;0;1882;1065;-2;2;259
6;261;0;0;1882;1065;269;3;260
6;262;0;1065;1882;1062;-2;2;259
6;263;0;1065;1882;1062;270;3;262
6;264;0;2127;1882;1062;-2;2;259
6;265;0;2127;1882;1062;271;3;264
6;266;0;3189;1882;21;-1;2;259
6;267;1882;0;1070;3210;-2;1;258
6;268;1882;0;1070;1582;-2;2;267
6;269;1882;0;1070;1582;308;3;268
6;270;1882;1582;1070;1582;-2;2;267
6;271;1882;1582;1070;1582;309;3;270
6;272;1882;3164;1070;46;-1;2;267
6;273;2952;0;1656;3210;-2;1;258
6;274;2952;0;1656;1056;-2;2;273
6;275;2952;0;1656;1056;183;3;274
6;276;2952;1056;1656;1046;-2;2;273
6;277;2952;1056;1656;1046;184;3;276
6;278;2952;2102;1656;1070;-2;2;273
6;279;2952;2102;1572;1070;310;3;278
6;280;4524;2102;84;1070;-1;3;278
6;281;2952;3172;1656;38;-1;2;273
6;282;4608;0;1367;3210;-2;1;258
6;283;4608;0;1367;1410;-2;2;282
6;284;4608;0;710;1410;93;3;283
6;285;5318;0;657;1410;-2;3;283
6;286;5318;0;657;1195;152;4;285
6;287;5318;1195;657;215;-1;4;285
6;288;4608;1410;1367;1762;-2;2;282
6;289;4608;1410;1367;1762;328;3;288
6;290;4608;3172;1367;38;-1;2;282
6;291;5975;0;25;3210;-1;1;258
7;292;0;0;6000;3210;-2;0;
7;293;0;0;1852;3210;-2;1;292
7;294;0;0;1852;610;-2;2;293
7;295;0;0;787;610;-2;3;294
7;296;0;0;787;582;2;4;295
7;297;0;582;787;28;-1;4;295
7;298;787;0;1030;610;153;3;294
7;299;1817;0;35;610;-1;3;294
7;300;0;610;1852;797;-2;2;293
7;301;0;610;1852;797;94;3;300
7;302;0;1407;1852;343;-2;2;293
7;303;0;1407;1529;343;118;3;302
7;304;1529;1407;323;343;-1;3;302
7;305;0;1750;1852;703;-2;2;293
7;306;0;1750;1792;703;249;3;305
7;307;1792;1750;60;703;-1;3;305
7;308;0;2453;1852;730;-2;2;293
7;309;0;2453;1792;730;250;3;308
7;310;1792;2453;60;730;-1;3;308
7;311;0;3183;1852;27;-1;2;293
7;312;1852;0;2160;3210;-2;1;292
7;313;1852;0;2160;1690;-2;2;312
7;314;1852;0;720;1690;-2;3;313
7;315;1852;0;720;1660;95;4;314
7;316;1852;1660;720;30;-1;4;314
7;317;2572;0;720;1690;-2;3;313
7;318;2572;0;720;1670;96;4;317
