PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;2329;3210;-2;1;0
0;2;0;0;2329;384;-2;2;1
0;3;0;0;1764;384;58;3;2
0;4;1764;0;565;384;-1;3;2
0;5;0;384;2329;799;-2;2;1
0;6;0;384;2210;799;244;3;5
0;7;2210;384;119;799;-1;3;5
0;8;0;1183;2329;1979;-2;2;1
0;9;0;1183;767;1979;98;3;8
0;10;767;1183;767;1979;99;3;8
0;11;1534;1183;28;1979;-1;3;8
0;12;1562;1183;767;1979;100;3;8
0;13;0;3162;2329;48;-1;2;1
0;14;2329;0;1738;3210;-2;1;0
0;15;2329;0;1738;105;-1;2;14
0;16;2329;105;1738;1246;-2;2;14
0;17;2329;105;165;1246;-1;3;16
0;18;2494;105;1513;1246;179;3;16
0;19;4007;105;60;1246;-1;3;16
0;20;2329;1351;1738;810;-2;2;14
0;21;2329;1351;850;810;139;3;20
0;22;3179;1351;851;810;140;3;20
0;23;4030;1351;37;810;-1;3;20
0;24;2329;2161;1738;1049;-2;2;14
0;25;2329;2161;851;1049;-2;3;24
0;26;2329;2161;851;1025;202;4;25
0;27;2329;3186;851;24;-1;4;25
0;28;3180;2161;887;1049;-2;3;24
0;29;3180;2161;887;1022;265;4;28
0;30;3180;3183;887;27;-1;4;28
0;31;4067;0;1867;3210;-2;1;0
0;32;4067;0;1867;1228;-2;2;31
0;33;4067;0;600;1228;18;3;32
0;34;4667;0;600;1228;19;3;32
0;35;5267;0;600;1228;20;3;32
0;36;5867;0;67;1228;-1;3;32
0;37;4067;1228;1867;1982;-2;2;31
0;38;4067;1228;34;1982;-1;3;37
0;39;4101;1228;698;1982;-2;3;37
0;40;4101;1228;698;1959;159;4;39
0;41;4101;3187;698;23;-1;4;39
0;42;4799;1228;20;1982;-1;3;37
0;43;4819;1228;1115;1982;-2;3;37
0;44;4819;1228;1115;1961;118;4;43
0;45;4819;3189;1115;21;-1;4;43
0;46;5934;0;66;3210;-1;1;0
1;47;0;0;6000;3210;-2;0;
1;48;0;0;2263;3210;-2;1;47
1;49;0;0;2263;682;-2;2;48
1;50;0;0;321;682;-2;3;49
1;51;0;0;321;541;59;4;50
1;52;0;541;321;141;-1;4;50
1;53;321;0;20;682;-1;3;49
1;54;341;0;1884;682;38;3;49
1;55;2225;0;38;682;-1;3;49
1;56;0;682;2263;799;-2;2;48
1;57;0;682;2210;799;245;3;56
1;58;2210;682;53;799;-1;3;56
1;59;0;1481;2263;851;-2;2;48
1;60;0;1481;623;851;-2;3;59
1;61;0;1481;623;751;0;4;60
1;62;0;2232;623;100;-1;4;60
1;63;623;1481;810;851;141;3;59
1;64;1433;1481;810;851;142;3;59
1;65;2243;1481;20;851;-1;3;59
1;66;0;2332;2263;851;-2;2;48
1;67;0;2332;1025;851;203;3;66
1;68;1025;2332;1025;851;204;3;66
1;69;2050;2332;213;851;-1;3;66
1;70;0;3183;2263;27;-1;2;48
1;71;2263;0;1979;3210;-2;1;47
1;72;2263;0;1979;1398;-2;2;71
1;73;2263;0;1959;1398;160;3;72
1;74;4222;0;20;1398;-1;3;72
1;75;2263;1398;1979;1022;-2;2;71
1;76;2263;1398;184;1022;-1;3;75
1;77;2447;1398;887;1022;266;3;75
1;78;3334;1398;887;1022;267;3;75
1;79;4221;1398;21;1022;-1;3;75
1;80;2263;2420;1979;767;-2;2;71
1;81;2263;2420;1979;767;101;3;80
1;82;2263;3187;1979;23;-1;2;71
1;83;4242;0;851;3210;-2;1;47
1;84;4242;0;851;810;-2;2;83
1;85;4242;0;851;810;143;3;84
1;86;4242;810;851;810;-2;2;83
1;87;4242;810;851;810;144;3;86
1;88;4242;1620;851;42;-1;2;83
1;89;4242;1662;851;351;-2;2;83
1;90;4242;1662;281;351;78;3;89
1;91;4523;1662;391;351;79;3;89
1;92;4914;1662;179;351;-1;3;89
1;93;4242;2013;851;22;-1;2;83
1;94;4242;2035;851;1025;-2;2;83
1;95;4242;2035;851;1025;205;3;94
1;96;4242;3060;851;150;-1;2;83
1;97;5093;0;887;3210;-2;1;47
1;98;5093;0;887;2188;-2;2;97
1;99;5093;0;842;2188;224;3;98
1;100;5935;0;45;2188;-1;3;98
1;101;5093;2188;887;1022;-2;2;97
1;102;5093;2188;887;1022;268;3;101
1;103;5980;0;20;3210;-1;1;47
2;104;0;0;6000;3210;-2;0;
2;105;0;0;842;3210;-2;1;104
2;106;0;0;842;321;-2;2;105
2;107;0;0;551;321;80;3;106
2;108;551;0;291;321;-1;3;106
2;109;0;321;842;76;-1;2;105
2;110;0;397;842;2188;-2;2;105
2;111;0;397;842;2188;225;3;110
2;112;0;2585;842;321;-2;2;105
2;113;0;2585;91;321;-1;3;112
2;114;91;2585;551;321;81;3;112
2;115;642;2585;200;321;-1;3;112
2;116;0;2906;842;304;-1;2;105
2;117;842;0;2796;3210;-2;1;104
2;118;842;0;2796;1959;-2;2;117
2;119;842;0;1398;1959;161;3;118
2;120;2240;0;1398;1959;162;3;118
2;121;842;1959;2796;810;-2;2;117
2;122;842;1959;1884;810;-2;3;121
2;123;842;1959;1884;682;39;4;122
2;124;842;2641;1884;128;-1;4;122
2;125;2726;1959;851;810;145;3;121
2;126;3577;1959;61;810;-1;3;121
2;127;842;2769;2796;395;-2;2;117
2;128;842;2769;199;395;-1;3;127
2;129;1041;2769;1205;395;146;3;127
2;130;2246;2769;1205;395;147;3;127
2;131;3451;2769;187;395;-1;3;127
2;132;842;3164;2796;46;-1;2;117
2;133;3638;0;2303;3210;-2;1;104
2;134;3638;0;2303;842;-2;2;133
2;135;3638;0;2188;842;226;3;134
2;136;5826;0;115;842;-1;3;134
2;137;3638;842;2303;1246;-2;2;133
2;138;3638;842;395;1246;-2;3;137
2;139;3638;842;395;1205;148;4;138
2;140;3638;2047;395;41;-1;4;138
2;141;4033;842;1513;1246;180;3;137
2;142;5546;842;395;1246;-2;3;137
2;143;5546;842;395;41;-1;4;142
2;144;5546;883;395;1205;149;4;142
2;145;3638;2088;2303;1021;-2;2;133
2;146;3638;2088;115;1021;-1;3;145
2;147;3753;2088;2116;1021;119;3;145
2;148;5869;2088;72;1021;-1;3;145
2;149;3638;3109;2303;101;-1;2;133
2;150;5941;0;59;3210;-1;1;104
3;151;0;0;6000;3210;-2;0;
3;152;0;0;3281;3210;-2;1;151
3;153;0;0;3281;1452;-2;2;152
3;154;0;0;1959;1452;-2;3;153
3;155;0;0;1959;54;-1;4;154
3;156;0;54;1959;1398;163;4;154
3;157;1959;0;1322;1452;-2;3;153
3;158;1959;0;1322;726;150;4;157
3;159;1959;726;1322;726;151;4;157
3;160;0;1452;3281;887;-2;2;152
3;161;0;1452;2188;887;-2;3;160
3;162;0;1452;2188;842;227;4;161
3;163;0;2294;2188;45;-1;4;161
3;164;2188;1452;1022;887;269;3;160
3;165;3210;1452;71;887;-1;3;160
3;166;0;2339;3281;851;-2;2;152
3;167;0;2339;2015;851;-2;3;166
3;168;0;2339;2015;825;1;4;167
3;169;0;3164;2015;26;-1;4;167
3;170;2015;2339;1025;851;206;3;166
3;171;3040;2339;241;851;-1;3;166
3;172;0;3190;3281;20;-1;2;152
3;173;3281;0;2694;3210;-2;1;151
3;174;3281;0;2694;2188;-2;2;173
3;175;3281;0;1010;2188;-2;3;174
3;176;3281;0;1010;2085;192;4;175
3;177;3281;2085;1010;103;-1;4;175
3;178;4291;0;842;2188;246;3;174
3;179;5133;0;842;2188;247;3;174
3;180;3281;2188;2694;1022;-2;2;173
3;181;3281;2188;734;1022;-2;3;180
3;182;3281;2188;734;734;2;4;181
3;183;3281;2922;734;288;-1;4;181
3;184;4015;2188;887;1022;270;3;180
3;185;4902;2188;887;1022;271;3;180
3;186;5789;2188;186;1022;-1;3;180
3;187;5975;0;25;3210;-1;1;151
4;188;0;0;6000;3210;-2;0;
4;189;0;0;922;3210;-2;1;188
4;190;0;0;922;2144;-2;2;189
4;191;0;0;922;2144;102;3;190
4;192;0;2144;922;1022;-2;2;189
4;193;0;2144;887;1022;272;3;192
4;194;887;2144;35;1022;-1;3;192
4;195;0;3166;922;44;-1;2;189
4;196;922;0;3447;3210;-2;1;188
4;197;922;0;3447;847;-2;2;196
4;198;922;0;1322;847;-2;3;197
4;199;922;0;1322;726;152;4;198
4;200;922;726;1322;121;-1;4;198
4;201;2244;0;2105;847;228;3;197
4;202;4349;0;20;847;-1;3;197
4;203;922;847;3447;2188;-2;2;196
4;204;922;847;842;2188;248;3;203
4;205;1764;847;842;2188;249;3;203
4;206;2606;847;20;2188;-1;3;203
4;207;2626;847;20;2188;-1;3;203
4;208;2646;847;842;2188;250;3;203
4;209;3488;847;842;2188;251;3;203
4;210;4330;847;39;2188;-1;3;203
4;211;922;3035;3447;175;-1;2;196
4;212;4369;0;922;3210;-2;1;188
4;213;4369;0;922;2144;-2;2;212
4;214;4369;0;922;2144;103;3;213
4;215;4369;2144;922;1022;-2;2;212
4;216;4369;2144;887;1022;273;3;215
4;217;5256;2144;35;1022;-1;3;215
4;218;4369;3166;922;44;-1;2;212
4;219;5291;0;635;3210;-2;1;188
4;220;5291;0;635;1907;-2;2;219
4;221;5291;0;635;1907;3;3;220
4;222;5291;1907;635;1228;-2;2;219
4;223;5291;1907;600;1228;21;3;222
4;224;5891;1907;35;1228;-1;3;222
4;225;5291;3135;635;75;-1;2;219
4;226;5926;0;74;3210;-1;1;188
5;227;0;0;6000;3210;-2;0;
5;228;0;0;2116;3210;-2;1;227
5;229;0;0;2116;1021;-2;2;228
5;230;0;0;2116;1021;120;3;229
5;231;0;1021;2116;1282;-2;2;228
5;232;0;1021;2025;1282;193;3;231
5;233;2025;1021;91;1282;-1;3;231
5;234;0;2303;2116;851;-2;2;228
5;235;0;2303;1025;851;207;3;234
5;236;1025;2303;1025;851;208;3;234
5;237;2050;2303;66;851;-1;3;234
5;238;0;3154;2116;56;-1;2;228
5;239;2116;0;1076;3210;-2;1;227
5;240;2116;0;1076;2116;-2;2;239
5;241;2116;0;1021;2116;121;3;240
5;242;3137;0;55;2116;-1;3;240
5;243;2116;2116;1076;1072;-2;2;239
5;244;2116;2116;538;1072;40;3;243
5;245;2654;2116;538;1072;41;3;243
5;246;2116;3188;1076;22;-1;2;239
5;247;3192;0;2786;3210;-2;1;227
5;248;3192;0;2786;543;-2;2;247
5;249;3192;0;1372;543;42;3;248
5;250;4564;0;1372;543;43;3;248
5;251;5936;0;42;543;-1;3;248
5;252;3192;543;2786;1228;-2;2;247
5;253;3192;543;80;1228;-1;3;252
5;254;3272;543;600;1228;22;3;252
5;255;3872;543;2041;1228;-2;3;252
5;256;3872;543;2041;1177;181;4;255
5;257;3872;1720;2041;51;-1;4;255
5;258;5913;543;65;1228;-1;3;252
5;259;3192;1771;2786;867;-2;2;247
5;260;3192;1771;121;867;-1;3;259
5;261;3313;1771;2105;867;-2;3;259
5;262;3313;1771;2105;847;229;4;261
5;263;3313;2618;2105;20;-1;4;261
5;264;5418;1771;45;867;-1;3;259
5;265;5463;1771;515;867;-2;3;259
5;266;5463;1771;515;836;164;4;265
5;267;5463;2607;515;31;-1;4;265
5;268;3192;2638;2786;572;-2;2;247
5;269;3192;2638;1372;572;-2;3;268
5;270;3192;2638;1372;543;44;4;269
5;271;3192;3181;1372;29;-1;4;269
5;272;4564;2638;1372;572;-2;3;268
5;273;4564;2638;1372;29;-1;4;272
5;274;4564;2667;1372;543;45;4;272
5;275;5936;2638;42;572;-1;3;268
5;276;5978;0;22;3210;-1;1;227
6;277;0;0;6000;3210;-2;0;
6;278;0;0;1790;3210;-2;1;277
6;279;0;0;1790;1070;-2;2;278
6;280;0;0;1790;1070;4;3;279
6;281;0;1070;1790;2105;-2;2;278
6;282;0;1070;847;2105;230;3;281
6;283;847;1070;847;2105;231;3;281
6;284;1694;1070;96;2105;-1;3;281
6;285;0;3175;1790;35;-1;2;278
6;286;1790;0;721;3210;-2;1;277
6;287;1790;0;721;2153;-2;2;286
6;288;1790;0;681;2153;23;3;287
6;289;2471;0;40;2153;-1;3;287
6;290;1790;2153;721;1016;-2;2;286
6;291;1790;2153;721;1016;60;3;290
6;292;1790;3169;721;41;-1;2;286
6;293;2511;0;2918;3210;-2;1;277
6;294;2511;0;2918;1177;-2;2;293
6;295;2511;0;742;1177;-2;3;294
6;296;2511;0;742;258;-1;4;295
6;297;2511;258;742;919;122;4;295
6;298;3253;0;34;1177;-1;3;294
6;299;3287;0;2041;1177;182;3;294
6;300;5328;0;101;1177;-1;3;294
6;301;2511;1177;2918;1177;-2;2;293
6;302;2511;1177;851;1177;-2;3;301
6;303;2511;1177;851;1025;209;4;302
6;304;2511;2202;851;152;-1;4;302
6;305;3362;1177;2041;1177;183;3;301
6;306;5403;1177;26;1177;-1;3;301
6;307;2511;2354;2918;821;-2;2;293
6;308;2511;2354;1116;821;61;3;307
6;309;3627;2354;1116;821;62;3;307
6;310;4743;2354;666;821;-2;3;307
6;311;4743;2354;666;721;82;4;310
6;312;4743;3075;666;100;-1;4;310
6;313;5409;2354;20;821;-1;3;307
6;314;2511;3175;2918;35;-1;2;293
6;315;5429;0;543;3210;-2;1;277
6;316;5429;0;543;1372;-2;2;315
6;317;5429;0;543;1372;46;3;316
6;318;5429;1372;543;65;-1;2;315
6;319;5429;1437;543;866;-2;2;315
6;320;5429;1437;508;866;104;3;319
6;321;5937;1437;35;866;-1;3;319
6;322;5429;2303;543;866;-2;2;315
6;323;5429;2303;508;866;105;3;322
6;324;5937;2303;35;866;-1;3;322
6;325;5429;3169;543;41;-1;2;315
6;326;5972;0;28;3210;-1;1;277
7;327;0;0;6000;3210;-2;0;
7;328;0;0;831;3210;-2;1;327
7;329;0;0;831;2010;-2;2;328
7;330;0;0;802;2010;5;3;329
7;331;802;0;29;2010;-1;3;329
7;332;0;2010;831;1141;-2;2;328
7;333;0;2010;831;1141;24;3;332
7;334;0;3151;831;59;-1;2;328
7;335;831;0;842;3210;-2;1;327
7;336;831;0;842;919;-2;2;335
7;337;831;0;742;919;123;3;336
7;338;1573;0;100;919;-1;3;336
7;339;831;919;842;2188;-2;2;335
7;340;831;919;842;2188;252;3;339
7;341;831;3107;842;103;-1;2;335
7;342;1673;0;2872;3210;-2;1;327
7;343;1673;0;2872;2564;-2;2;342
7;344;1673;0;2025;2564;-2;3;343
7;345;1673;0;2025;1282;194;4;344
7;346;1673;1282;2025;1282;195;4;344
7;347;3698;0;847;2564;-2;3;343
7;348;3698;0;847;459;-1;4;347
7;349;3698;459;847;2105;232;4;347
7;350;1673;2564;2872;543;-2;2;342
7;351;1673;2564;1372;543;47;3;350
7;352;3045;2564;1372;543;48;3;350
7;353;4417;2564;128;543;-1;3;350
7;354;1673;3107;2872;103;-1;2;342
7;355;4545;0;1435;3210;-2;1;327
7;356;4545;0;1435;1140;-2;2;355
7;357;4545;0;1435;1140;6;3;356
7;358;4545;1140;1435;2025;-2;2;355
7;359;4545;1140;1326;2025;196;3;358
7;360;5871;1140;109;2025;-1;3;358
7;361;4545;3165;1435;45;-1;2;355
7;362;5980;0;20;3210;-1;1;327
8;363;0;0;6000;3210;-2;0;
8;364;0;0;2025;3210;-2;1;363
8;365;0;0;2025;1326;-2;2;364
8;366;0;0;2025;1326;197;3;365
8;367;0;1326;2025;508;-2;2;364
8;368;0;1326;154;508;-1;3;367
8;369;154;1326;866;508;106;3;367
8;370;1020;1326;866;508;107;3;367
8;371;1886;1326;139;508;-1;3;367
8;372;0;1834;2025;1326;-2;2;364
8;373;0;1834;2025;1326;198;3;372
8;374;0;3160;2025;50;-1;2;364
8;375;2025;0;2826;3210;-2;1;363
8;376;2025;0;2826;847;-2;2;375
8;377;2025;0;721;847;-2;3;376
8;378;2025;0;721;666;83;4;377
8;379;2025;666;721;181;-1;4;377
8;380;2746;0;2105;847;233;3;376
8;381;2025;847;2826;1440;-2;2;375
8;382;2025;847;1401;1440;108;3;381
8;383;3426;847;1401;1440;109;3;381
8;384;4827;847;24;1440;-1;3;381
8;385;2025;2287;2826;862;-2;2;375
8;386;2025;2287;515;862;-2;3;385
8;387;2025;2287;515;836;165;4;386
8;388;2025;3123;515;26;-1;4;386
8;389;2540;2287;2188;862;-2;3;385
8;390;2540;2287;2188;842;253;4;389
8;391;2540;3129;2188;20;-1;4;389
8;392;4728;2287;123;862;-1;3;385
8;393;2025;3149;2826;61;-1;2;375
8;394;4851;0;1115;3210;-2;1;363
8;395;4851;0;1115;319;-2;2;394
8;396;4851;0;764;319;7;3;395
8;397;5615;0;351;319;-1;3;395
8;398;4851;319;1115;1936;-2;2;394
8;399;4851;319;1115;1936;166;3;398
8;400;4851;2255;1115;851;-2;2;394
8;401;4851;2255;1025;851;210;3;400
8;402;5876;2255;90;851;-1;3;400
8;403;4851;3106;1115;104;-1;2;394
8;404;5966;0;34;3210;-1;1;363
9;405;0;0;6000;3210;-2;0;
9;406;0;0;2173;3210;-2;1;405
9;407;0;0;2173;2105;-2;2;406
9;408;0;0;1326;2105;-2;3;407
9;409;0;0;1326;2025;199;4;408
