PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;830;3210;-2;1;0
0;2;0;0;830;526;-2;2;1
0;3;0;0;807;526;30;3;2
0;4;807;0;23;526;-1;3;2
0;5;0;526;830;526;-2;2;1
0;6;0;526;807;526;31;3;5
0;7;807;526;23;526;-1;3;5
0;8;0;1052;830;526;-2;2;1
0;9;0;1052;807;526;32;3;8
0;10;807;1052;23;526;-1;3;8
0;11;0;1578;830;1187;-2;2;1
0;12;0;1578;315;1187;-2;3;11
0;13;0;1578;315;1142;0;4;12
0;14;0;2720;315;45;-1;4;12
0;15;315;1578;495;1187;33;3;11
0;16;810;1578;20;1187;-1;3;11
0;17;0;2765;830;359;-2;2;1
0;18;0;2765;804;359;40;3;17
0;19;804;2765;26;359;-1;3;17
0;20;0;3124;830;86;-1;2;1
0;21;830;0;1122;3210;-2;1;0
0;22;830;0;1122;495;-2;2;21
0;23;830;0;1097;495;34;3;22
0;24;1927;0;25;495;-1;3;22
0;25;830;495;1122;495;-2;2;21
0;26;830;495;1097;495;35;3;25
0;27;1927;495;25;495;-1;3;25
0;28;830;990;1122;1604;-2;2;21
0;29;830;990;544;1604;41;3;28
0;30;1374;990;544;1604;42;3;28
0;31;1918;990;34;1604;-1;3;28
0;32;830;2594;1122;595;-2;2;21
0;33;830;2594;1122;595;60;3;32
0;34;830;3189;1122;21;-1;2;21
0;35;1952;0;502;3210;-2;1;0
0;36;1952;0;502;947;-2;2;35
0;37;1952;0;457;947;10;3;36
0;38;2409;0;45;947;-1;3;36
0;39;1952;947;502;1400;-2;2;35
0;40;1952;947;464;1400;50;3;39
0;41;2416;947;38;1400;-1;3;39
0;42;1952;2347;502;824;-2;2;35
0;43;1952;2347;502;824;51;3;42
0;44;1952;3171;502;39;-1;2;35
0;45;2454;0;1702;3210;-2;1;0
0;46;2454;0;1702;399;-2;2;45
0;47;2454;0;577;399;11;3;46
